antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.059327893790623705,0.16678191121559952,0.018116443092241738,0.30536130536130535,1.8309018234391365,1.0,0.008221623577445417,1.1994985237869389,0.4824434214454213,0.08710106382978723,0.16631827370416577,0.20699242714168087
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.16678191121559952,0.059327893790623705,0.018116443092241738,0.10862354892205638,1.8309018234391368,1.0,0.008221623577445417,1.0553028465939607,0.5446606062525735,0.08710106382978723,0.05240471659150098,0.20699242714168087
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.10897524547088923,0.16678191121559952,0.023509887982298437,0.21573604060913706,1.2935218156257628,1.0,0.005334788267474428,1.0624204756668407,0.2546694543097388,0.0932017543859649,0.058753080438949376,0.17834894899445244
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.16678191121559952,0.10897524547088923,0.023509887982298437,0.14096185737976782,1.2935218156257628,1.0,0.005334788267474428,1.0372353802723047,0.27233780815230657,0.0932017543859649,0.03589867929739269,0.17834894899445244
frozenset({'Organic Whole Milk'}),frozenset({'Bag of Organic Bananas'}),0.05296639468953118,0.16678191121559952,0.010925183238832804,0.20626631853785904,1.236742744069037,1.0,0.0020913467023130124,1.049745157909294,0.20213053058085886,0.05231788079470198,0.047387842215312635,0.13588606142481674
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Whole Milk'}),0.16678191121559952,0.05296639468953118,0.010925183238832804,0.06550580431177445,1.2367427440690368,1.0,0.0020913467023130124,1.013418392195586,0.2297410578286675,0.05231788079470198,0.01324072298166488,0.13588606142481674
frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.05020052551514313,0.16678191121559952,0.011478357073710414,0.22865013774104687,1.3709528573843364,1.0,0.0031058174842673748,1.0802077365312048,0.28488151791791516,0.05585464333781966,0.07425214041585225,0.14873634581911382
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Yellow Onion'}),0.16678191121559952,0.05020052551514313,0.011478357073710414,0.06882255389718077,1.3709528573843366,1.0,0.0031058174842673748,1.0199983670781276,0.324741288806679,0.05585464333781966,0.019606273621216388,0.14873634581911382
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.038860461900152125,0.2049509058221546,0.012584704743465635,0.3238434163701068,1.5801023912093402,1.0,0.00462021787636213,1.1758357655998661,0.38197327852004115,0.05442583732057416,0.1495410930200456,0.1926234625710183
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.2049509058221546,0.038860461900152125,0.012584704743465635,0.06140350877192983,1.5801023912093402,1.0,0.00462021787636213,1.0240178256390902,0.4617697487761847,0.05442583732057416,0.02345449955824814,0.1926234625710183
frozenset({'Banana'}),frozenset({'Honeycrisp Apple'}),0.2049509058221546,0.036232886184483476,0.01396763933065966,0.06815114709851552,1.8809196361426173,1.0,0.00654167648659874,1.0342526159845007,0.5890770499906139,0.06147291539866099,0.033118229971210465,0.22682366515231117
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.036232886184483476,0.2049509058221546,0.01396763933065966,0.38549618320610685,1.8809196361426173,1.0,0.00654167648659874,1.293806600463326,0.4859526417557813,0.06147291539866099,0.22708695438569465,0.22682366515231117
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.2049509058221546,0.06250864334116996,0.01286129166090444,0.06275303643724696,1.0039097488445416,1.0,5.008858641766291e-05,1.0002607563487302,0.004898467615686387,0.050516023900054316,0.00026068837258191597,0.13425262441331376
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.06250864334116996,0.2049509058221546,0.01286129166090444,0.20575221238938055,1.0039097488445416,1.0,5.008858641766291e-05,1.0010088873771201,0.004154195356627975,0.050516023900054316,0.0010078705492452134,0.13425262441331376
frozenset({'Banana'}),frozenset({'Limes'}),0.2049509058221546,0.05808325266214908,0.01341446549578205,0.06545209176788125,1.1268668466036889,1.0,0.001510250249577523,1.0078849238662058,0.14160598078016265,0.053739612188365656,0.0078232382283878,0.1482022363601311
frozenset({'Limes'}),frozenset({'Banana'}),0.05808325266214908,0.2049509058221546,0.01341446549578205,0.23095238095238096,1.1268668466036889,1.0,0.001510250249577523,1.0338099676615948,0.11952617581928572,0.053739612188365656,0.03270423841827566,0.1482022363601311
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.07868897801134006,0.2049509058221546,0.021850366477665608,0.2776801405975396,1.3548617386375228,1.0,0.005722989156021856,1.10068840532164,0.2842876089211816,0.08346539883782356,0.09147766510015808,0.1921464130787968
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.2049509058221546,0.07868897801134006,0.021850366477665608,0.10661268556005399,1.3548617386375228,1.0,0.005722989156021856,1.03125599289063,0.329435388873354,0.08346539883782356,0.030308665458533533,0.1921464130787968
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.2049509058221546,0.09984787719540866,0.02046743189047158,0.09986504723346828,1.000171961973974,1.0,3.5190148533204013e-06,1.0000190749598235,0.00021625382557709903,0.07198443579766536,1.9074595976206066e-05,0.1524255984089779
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.09984787719540866,0.2049509058221546,0.02046743189047158,0.20498614958448752,1.000171961973974,1.0,3.5190148533204013e-06,1.0000443310041889,0.00019100372457255224,0.07198443579766536,4.43290390379662e-05,0.1524255984089779
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.2049509058221546,0.03844558152399392,0.01396763933065966,0.06815114709851552,1.7726652685948407,1.0,0.006088182572457615,1.0318780942660688,0.5482399866356439,0.06088004822182038,0.03089327551695178,0.21573024980825056
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03844558152399392,0.2049509058221546,0.01396763933065966,0.3633093525179856,1.7726652685948405,1.0,0.006088182572457615,1.2487211761663335,0.45330529025863897,0.06088004822182038,0.19918071456906483,0.21573024980825056
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.10897524547088923,0.2049509058221546,0.02572258332180888,0.23604060913705582,1.1516934174561746,1.0,0.003388008050358479,1.0406954920467477,0.14782234282767492,0.0892514395393474,0.0391041302261351,0.18077334100577486
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.2049509058221546,0.10897524547088923,0.02572258332180888,0.12550607287449392,1.1516934174561746,1.0,0.003388008050358479,1.0189033072624554,0.16566696031287345,0.0892514395393474,0.018552601731408585,0.18077334100577486
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.05296639468953118,0.2049509058221546,0.01341446549578205,0.25326370757180156,1.235728656849998,1.0,0.002558954926028874,1.0646986121332687,0.20142987041140767,0.05486425339366515,0.06076706722068134,0.1593578996698414
frozenset({'Banana'}),frozenset({'Organic Whole Milk'}),0.2049509058221546,0.05296639468953118,0.01341446549578205,0.06545209176788125,1.2357286568499983,1.0,0.002558954926028874,1.0133601466210216,0.23993594583011305,0.05486425339366515,0.01318400636295989,0.1593578996698414
frozenset({'Banana'}),frozenset({'Strawberries'}),0.2049509058221546,0.06389157792836399,0.018393030009680542,0.08974358974358974,1.4046231546231547,1.0,0.005298393238855562,1.0284008017125015,0.36232388241433294,0.07344008834897847,0.02761647177365895,0.18881118881118883
frozenset({'Strawberries'}),frozenset({'Banana'}),0.06389157792836399,0.2049509058221546,0.018393030009680542,0.2878787878787879,1.4046231546231547,1.0,0.005298393238855562,1.116451919483783,0.3077263997636283,0.07344008834897847,0.10430536008897466,0.18881118881118883
frozenset({'Organic Avocado'}),frozenset({'Organic Baby Spinach'}),0.07868897801134006,0.09984787719540866,0.012169824367307427,0.15465729349736382,1.5489292095283071,1.0,0.004312896954198932,1.0648369186607327,0.3846613083704047,0.07315045719035744,0.06088905965270206,0.13827047500352957
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Avocado'}),0.09984787719540866,0.07868897801134006,0.012169824367307427,0.12188365650969529,1.548929209528307,1.0,0.004312896954198932,1.0491901543782531,0.3937031243453121,0.07315045719035744,0.04688392678198839,0.13827047500352957
frozenset({'Organic Avocado'}),frozenset({'Organic Strawberries'}),0.07868897801134006,0.10897524547088923,0.010648596321393998,0.13532513181019332,1.2417969899993755,1.0,0.0020734456267548097,1.0304737506647643,0.2113459941439527,0.06015625000000001,0.029572563731104742,0.11652043392540123
frozenset({'Organic Strawberries'}),frozenset({'Organic Avocado'}),0.10897524547088923,0.07868897801134006,0.010648596321393998,0.09771573604060914,1.2417969899993755,1.0,0.0020734456267548097,1.0210873211351112,0.21852972419478703,0.06015625000000001,0.02065182937701061,0.11652043392540123
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.08850781358041765,0.09984787719540866,0.01286129166090444,0.14531249999999998,1.4553389023545704,1.0,0.004023974359692775,1.0531944398444943,0.3432556288063064,0.07328605200945626,0.05050771047779994,0.13706068213296396
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.09984787719540866,0.08850781358041765,0.01286129166090444,0.12880886426592797,1.4553389023545704,1.0,0.004023974359692775,1.0462597115976764,0.347579943073032,0.07328605200945626,0.044214367699427264,0.13706068213296396
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.10897524547088923,0.09984787719540866,0.01728668233992532,0.15862944162436549,1.5887112082905634,1.0,0.00640573541280846,1.0698640614932398,0.4158795592115474,0.09025270758122743,0.06530181170468378,0.1658798177650913
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.09984787719540866,0.10897524547088923,0.01728668233992532,0.17313019390581716,1.5887112082905632,1.0,0.00640573541280846,1.0775877265829448,0.4116626209863266,0.09025270758122743,0.07200130872776096,0.1658798177650913
frozenset({'Organic Raspberries'}),frozenset({'Organic Hass Avocado'}),0.059327893790623705,0.08850781358041765,0.010372009403955194,0.17482517482517484,1.9752513111888113,1.0,0.005121027240215853,1.1046049377796634,0.5248750367538959,0.07545271629778673,0.09469895905945065,0.14600633741258742
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Raspberries'}),0.08850781358041765,0.059327893790623705,0.010372009403955194,0.1171875,1.975251311188811,1.0,0.005121027240215853,1.0655400849097358,0.5416780458200576,0.07545271629778673,0.06150879336959718,0.14600633741258742
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.10897524547088923,0.08850781358041765,0.016042041211450697,0.14720812182741116,1.6632217639593907,1.0,0.00639688050043298,1.068833099551534,0.4475265859232419,0.08841463414634146,0.064400231972995,0.16422906091370557
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.08850781358041765,0.10897524547088923,0.016042041211450697,0.18124999999999997,1.6632217639593905,1.0,0.00639688050043298,1.0882745093485322,0.43747743788551774,0.08841463414634146,0.08111419369858758,0.16422906091370557
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.059327893790623705,0.10897524547088923,0.013829345871940258,0.2331002331002331,2.1390200324210475,1.0,0.0073640740828361945,1.1618529473951018,0.5660805645398412,0.08952551477170993,0.1393058801098534,0.18000189319986273
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.10897524547088923,0.059327893790623705,0.013829345871940258,0.12690355329949238,2.1390200324210475,1.0,0.0073640740828361945,1.0773977030421344,0.5976222256712712,0.08952551477170993,0.07183763509388848,0.18000189319986273
